Name,Libraries
testJavaProgram01,"java, soba, org"
testGetPackageName,"java, soba, org"
testGetClassName,"java, soba, org"
testGetFieldName,"java, soba, org"
testGetDescriptor,"java, soba, org"
testGetFieldTypeName,"java, soba, org"
testDataDependence01,"java, soba, gnu, org, boolean"
testDataDependence02,"java, soba, gnu, org, boolean"
testDataDependence03,"java, soba, gnu, org, boolean"
testGetVariableEntryCount,"java, soba, org"
testGetVariableName,"java, soba, org"
testGetVariableType,"java, soba, org"
testGetVariableIndex,"java, soba, org"
testIsObjectVariable,"java, soba, org"
testIsArrayVariable,"java, soba, org"
testHasNoDataDependence,"java, soba, org"
testIsParameter,"java, soba, gnu, org"
testFindEntryForInstruction,"java, soba, org, gnu"
testControlDependence,"java, soba, gnu, org"
testConstructorWithoutInstruction,"java, soba, org"
testConstructorWithSingleInstruction,"java, soba, org"
testConstructorWithArray,"java, soba, org"
testMerge,"java, soba, gnu, org"
testContainsAll,"java, soba, org"
testEquals,"java, soba, org"
testClassInfo01,"java, soba, org"
testClassInfo02,"java, soba, org"
testLibrary01,"java, soba, org"
testClasses,"java, soba, org"
testGetClassInfo,"java, soba, org"
testGetSuperClass,"java, soba, org"
testIsSamePackage,"java, soba, org"
testGetSubtypes,"java, soba, org"
testGetAllSubtypes,"java, soba, org"
testListAllSuperTypes,"java, soba, org"
testGetSuperInterfaces,"java, soba, org"
testResolveCall01,"java, soba, org"
testResolveCall02,"java, soba, org"
testResolveCall03,"java, soba, org"
testResolveCall04,"java, soba, org"
testResolveCall05,"java, soba, org"
testResolveCall06,"java, soba, org"
testFields,"java, soba, org"
testFreeze,"java, soba, org"
testMethodInfo01,"java, soba, gnu, org, boolean"
testMethodInfo02,"java, soba, gnu, org, boolean"
testGetTypeName,"java, soba, org"
testGetLocalVertex,"java, soba, gnu, org"
testGetReturnVertex,"java, soba, org"
testGetFormalVertex,"java, soba, org"
testHasFormalVertex,"java, soba, org"
testGetVertexCount,"java, soba, org"
testGetTypeName,"java, soba, org"
testIsObjectParam,"java, soba, org"
testGetParamVertexId,"java, soba, org"
testGetParamCount,"java, soba, org"
testHasReturnValue,"java, soba, org"
testGetReturnValueVertex,"java, soba, org"
testGetVertexCount,"java, soba, org"
testGetVertex,"java, soba, org"
testGetTypeName,"java, soba, org"
testGetReturnValueTypeName,"java, soba, org"
testResolveCall01,"java, soba, gnu, org"
testResolveCall02,"java, soba, gnu, org"
testResolvedCall03,"java, soba, gnu, org"
testResolvedCall04,"java, soba, gnu, org"
testResolveCall05,"java, soba, org"
testLoopBinding,"java, soba, gnu, org"
testMethodParamType,"java, soba, gnu, org"
testgetReceiverTypeAtCallsite,"java, soba, gnu, org"
testReflection,"java, soba, gnu, org"
testReflection2,"java, soba, gnu, org"
testGetNewInstructionVertex,"java, soba, org"
testGetVertex,"java, soba, org"
testGetTypeName,"java, soba, org"
testGetVertexCount,"java, soba, org"
testDominanceTree,"java, soba, gnu, org"
testAcyclicGraphNodes,"java, soba, org"
testAcyclicGraphEdges,"java, soba, org"
testDepthFirstSearch,"java, soba, gnu, org"
testEdgeCount,"java, soba, org"
testReverseGraph,"java, soba, gnu, org"
testUndirectedGraph,"java, soba, gnu, org"
testSingleRootDirectedGraph,"java, soba, gnu, org"
testEdges,"java, soba, gnu, org"
testDFS,"java, soba, org"
testStack,"java, soba, org"
testObjectIdMap,"java, soba, gnu, org"
testAdd,"java, soba, gnu, org"
testFreeze,"java, soba, gnu, org"
testAdd,"java, soba, org"
testSortByFirstValues,"java, soba, org"
testSetValues,"java, soba, org"
testAddAll,"java, soba, org"
testFreeze,"java, soba"
testArrayIndexOutOfBounds,"java, soba"
testForEach,"java, soba, org"
testGetCallees01,"java, soba, gnu, org"
testGetAllCallees01,"java, soba, gnu, org"
testGetCallers01,"java, soba, gnu, org"
testGetAllCallers01,"java, soba, gnu, org"
testStack,"java, soba, org"
testStackContains,"java, soba, org"
testStackIgnoreDuplicatedElement,"java, soba, org"
testCreateList,"java, soba, gnu, org"
testCreateList2,"java, soba, gnu, org"
testIntPairSet,"java, soba, gnu, org"
testForEach,"java, soba, gnu, org"
testIsZipFile,"java, soba, org"
testIsClassFile,"java, soba, org"
testListSubdirectories,"java, soba, org"
testEnumerateSystemClasspath,"java, soba, org"
testMerge,"java, soba, org"
testGetClassList,"java, soba, org"
